"Table 4  -Full list of first forenames given, Scotland, 2007",,,,

Boys,,,Girls,
Name,Number,,Name,Number
Angelo,1,,Alighia,1
Angus,93,,Alina,8
Anir,1,,Alisa,3
Anis,1,,Alise,1
Anish,1,,Alisha,39
Anmolpreet,1,,Alishah,1
Annan,1,,Alisha-Sophia,1
Anndra,1,,Alishba,2
Anselm,1,,Alison,8
Anthony,42,,Alissa,3
Anthony-John,1,,Alivia,2
Antoine,3,,Alivia-Rose,1
Anton,5,,Alix,19
Antoni,4,,Aliya,2
Antonio,4,,Aliyah,7
Antony,5,,Aliza,3
Antonyo,1,,Allana,6
Anubhav,1,,Allanah,3
Aodhan,3,,Allannah,2
Aon,1,,Allegria,1
Aonghus,1,,Alleisha,1
Apisai,1,,Alliah,1
Arafat,1,,Allice,1
Aran,1,,Allie,3
Arandeep,1,,Allisha,2
Arann,1,,Ally,3
Aray,1,,Almaas,1
Arayan,1,,Almirah,1
Archibald,6,,Alona,1
Archie,106,,Alora,1
Arda,1,,Alphonsina,1
Ardal,1,,Alva,2
Ardeshir,1,,Alveena,1
Areeb,2,,Alx,1
Areez,1,,Alycia,1
Aref,1,,Alyessa,1
Arfin,1,,Alyia,1
Argyle,3,,Alysa,1
Argyll,3,,Alyse,1
Ari,2,,Alysha,7
Aria,1,,Alysha-Anne,1
Arian,1,,Alyshia,1
Arihant,1,,Alysia,1
Aristomenis,1,,Alyssa,38
Aristotelis,1,,Alyth,1
Arjuna,1,,Alyx,5
Arlo,3,,Ama,2
Armaan,2,,Amaarah,1
Arman,1,,Amahle,1
Armen,1,,Amaia,1
Arnab,1,,Amalia,1
Arnav,1,,Amalie,4
Arnold,1,,Amanda,7
Aron,7,,Amaney,1
Aronas,1,,Amani,1
Arran,98,,Amara,2
Arrham,1,,Amarah,1
Arron,16,,Amaylyuh,1
Arryn,1,,Amber,82
Arsalan,1,,Amber-Leigh,1
Artem,1,,Amberlouise,1
Arthur,13,,Amberly,1
Artur,2,,Ambreen,1
Arturo,1,,Ame,1
Arun,3,,Ameelia,1
Arunas,1,,Ameera,4
Arved,1,,Ameerah,1
Arya,1,,Amelia,86
Aryan,5,,Amelia-Jane,1
Aryankhan,1,,Amelie,44
Aryian,1,,Amelka,1
Aryn,1,,Amellie,1
Asa,2,,Amera,1
Asfhan,1,,Amey,1
Ash,1,,Amez,1
Ashlee-jay,1,,Ami,7
Ashley,5,,Amie,23
Ashton,46,,Amiee,2
Ashton-Lloyd,1,,Amie-Lee,1
Ashtyn,1,,Amieleigh,1
Ashwin,1,,Amie-Leigh,1
Asif,1,,Ami-Grace,1
Asim,2,,Amii,2
Aslam,1,,Ami-jay,1
Asrar,1,,Ami-Lee,2
Ata,1,,Ami-Leigh,1
Atal,1,,Amilie,1
Atapattu,1,,Amina,7
Ateeq,1,,Aminah,2
Athol,1,,Amira,4
Athon,1,,Amirah,4
Athos-Carlos,1,,Ammara,1
Atli,1,,Ammarah,1
Atom,1,,Amna,4
Attila,1,,Amnah,1
Aulay,2,,Amrien,1
Aun,2,,Amrita,1
Austen,3,,Amy,369
Austin,9,,Amy-Ivy,1
Avani,1,,Amy-Jane,1
Averon,1,,Amylea,1
Avi,1,,Amy-Lea,1
Avinash,1,,Amylee,1
Avraham,1,,Amy-Lee,4
Awais,2,,Amyleigh,2
Awwal,1,,Amy-Leigh,3
Axel,1,,Amy-Louise,4
Ayaan,9,,Amyrose,1
Ayan,2,,Ana,10
Aydan,2,,Anabella,1
Ayden,16,,Anabelle,2
Aydin,4,,Anais,4
Aydon,1,,Anaìs,1
Ayman,1,,Analucia,1
Ayomide,1,,Ana-Lucia,1
Ayren,2,,Analyse,1
Ayrton,1,,Anastacia,3
Aytug,1,,Anastasia,4
Ayub,1,,Anastasija,3
Ayyub,1,,Anastazja,2
Azaan,3,,Anaya,1
Azedine,1,,Anayah,1
Azeem,1,,Ander,1
Azim,1,,Andi,5
Aziz,2,,Andie,1
Azlan,1,,Andra,1
Azzam,1,,Andrea,7
Azzedine,1,,Aneeka,1
Babatunmise,1,,Aneesa,2
Babur,1,,Aneesah,1
Bader,1,,Aneilya,1
Badr,1,,Aneliese,1
Badsha,1,,Aneshia,1
Bailee,1,,Aneshka,1
Bailey,56,,Angali,1
Bailie,1,,Angaly,1
Bailley,1,,Angel,25
Baillie,7,,Angela,8
Baley,1,,Angelic,1
Balian,1,,Angelica,2
Banan,1,,Angelika,1
Barath,1,,Angelina,3
Barkley,1,,Angeline,1
Barney,1,,Angel-Leigh,1
Baron,1,,Angel-Louise,1
Barrie,2,,Aniela,1
Barry,19,,Anifhe,1
Bartlomiej,1,,Anika,6
Bartosz,8,,Aniqa,1
Basher,1,,Anisa,1
Basile,1,,Anise,1
Baxter,1,,Anita,2
Baye,1,,Anja,1
Bayley,1,,Anjali,3
Beau,1,,Anjolaoluwa,1
Beinn,1,,Anmar,1
Bekim,1,,Anmol,2
Believe,1,,Ann,3
Ben,286,,Anna,185
Bendeguz,1,,Annabel,22
Benedict,8,,Annabella,3
Benjamin,128,,Annabelle,12
Benjamyn,1,,Annagayle,1
Benji,2,,Annalee,1
Benn,3,,Annaleece,1
Bennett,3,,Annaleigh,1
Benny,1,,Annalicia,1
Benoit,1,,Annaliesse,1
Bentley,2,,Annalisa,1
Berkay,1,,Annalise,5
Bernard,1,,Anna-Maria,2
Bertie,2,,Annastacia,1
Bevin,1,,Anne,5
Bezalel,1,,Annelie,2
Bhaaldeen,1,,Anneliese,1
Bharath,1,,Annelise,3
